label,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41
A,0.8281365036964417,0.8725752830505371,0.7676860094070435,0.8321622014045715,0.7313609719276428,0.7450176477432251,0.7247202396392822,0.6651684641838074,0.7203080654144287,0.6039698123931885,0.7632858753204346,0.6863718032836914,0.77573162317276,0.6654132008552551,0.7890770435333252,0.7331557273864746,0.7966657876968384,0.7837250232696533,0.8026993274688721,0.6857740879058838,0.8105580806732178,0.6560969948768616,0.814407229423523,0.7340893745422363,0.8184720277786255,0.7871863842010498,0.8390779495239258,0.693671703338623,0.8463103771209717,0.6688302159309387,0.8410860300064087,0.7425835132598877,0.8389483690261841,0.7924681901931763,0.8713548183441162,0.7063650488853455,0.8786187767982483,0.674972653388977,0.8685579299926758,0.7254278659820557,0.8609507083892822,0.761660099029541
B,0.10552163422107697,0.778730034828186,0.18123102188110352,0.7458375692367554,0.24482636153697968,0.659878671169281,0.23036392033100128,0.5825483202934265,0.17532509565353394,0.5760317444801331,0.21895891427993774,0.5042439699172974,0.2367287576198578,0.4064580798149109,0.24122872948646545,0.34222662448883057,0.24324090778827667,0.28255265951156616,0.17423026263713837,0.4829605221748352,0.191970095038414,0.3730655312538147,0.20184369385242462,0.2997671365737915,0.20878030359745026,0.23588189482688904,0.1306024044752121,0.4898901581764221,0.1426868438720703,0.3857623040676117,0.15581366419792175,0.31656619906425476,0.16612133383750916,0.25576066970825195,0.08191549777984619,0.5184495449066162,0.08199774473905563,0.4324265718460083,0.08543919771909714,0.3750333786010742,0.08872634917497635,0.3201356530189514
B,0.11437737941741943,0.7965475916862488,0.18996748328208923,0.765239953994751,0.25621455907821655,0.6857219934463501,0.24329042434692383,0.6062108278274536,0.18893155455589294,0.587915301322937,0.22964102029800415,0.5276364088058472,0.24665775895118713,0.42717140913009644,0.2516621947288513,0.36184221506118774,0.2546446919441223,0.30157941579818726,0.18473200500011444,0.5082612037658691,0.20149026811122894,0.39456290006637573,0.21052685379981995,0.3178965449333191,0.21712267398834229,0.2508646547794342,0.14087000489234924,0.5159041285514832,0.15316319465637207,0.41033273935317993,0.1651400923728943,0.3404778242111206,0.17481665313243866,0.2789906859397888,0.09084118157625198,0.5439288020133972,0.09457692503929138,0.456595242023468,0.09879938513040543,0.3989030718803406,0.10233484953641891,0.34311965107917786
B,0.8418915867805481,0.8808841705322266,0.7855346202850342,0.8445886969566345,0.7458435893058777,0.7753024697303772,0.7551805973052979,0.7060396075248718,0.7956801652908325,0.6847806572914124,0.7731711268424988,0.6522164344787598,0.7662705183029175,0.5695213675498962,0.7662708759307861,0.520116925239563,0.7685115933418274,0.4741290211677551,0.8076744675636292,0.6455811262130737,0.799345850944519,0.5539531707763672,0.7950457334518433,0.49846673011779785,0.7912515997886658,0.44716012477874756,0.8402971029281616,0.657675564289093,0.8339504599571228,0.5748162269592285,0.8269230723381042,0.5231808423995972,0.8211504817008972,0.4789173901081085,0.878427267074585,0.6839544773101807,0.8776088356971741,0.6168763637542725,0.8757119178771973,0.5749082565307617,0.8738431930541992,0.5360590219497681
B,0.14515890181064606,0.755011796951294,0.21209347248077393,0.7256104946136475,0.2670806348323822,0.6338018774986267,0.25278621912002563,0.561084508895874,0.20615211129188538,0.578784167766571,0.22573615610599518,0.4796811640262604,0.23233255743980408,0.3798162341117859,0.23264746367931366,0.31437352299690247,0.23118117451667786,0.257478803396225,0.17854420840740204,0.46821847558021545,0.18503612279891968,0.3554738759994507,0.1883927583694458,0.2785613536834717,0.18996965885162354,0.21402209997177124,0.13729146122932434,0.48358872532844543,0.13740339875221252,0.3797072172164917,0.14392128586769104,0.30835604667663574,0.15018777549266815,0.2474612295627594,0.09389247745275497,0.5187028050422668,0.08897477388381958,0.4353301525115967,0.0908908024430275,0.3800937235355377,0.09508249908685684,0.3267793655395508
B,0.8228579759597778,0.8695728778839111,0.770089328289032,0.8284868597984314,0.7371399402618408,0.7544360756874084,0.7614673376083374,0.7012239694595337,0.8040278553962708,0.7042367458343506,0.7682477831840515,0.6386303305625916,0.7605085968971252,0.5599133968353271,0.7569867968559265,0.5137699842453003,0.7560206055641174,0.4716010093688965,0.8022525310516357,0.6350358724594116,0.7931551933288574,0.5487640500068665,0.7871562838554382,0.4961607754230499,0.781883180141449,0.44929423928260803,0.8349767327308655,0.6503113508224487,0.8304330706596375,0.5723245739936829,0.8228498101234436,0.5230703353881836,0.8151532411575317,0.48229777812957764,0.8706066012382507,0.678642213344574,0.8751543164253235,0.6181420087814331,0.8750213980674744,0.5781005024909973,0.8752670288085938,0.5413720607757568
B,0.8232186436653137,0.8707233667373657,0.7681225538253784,0.8348697423934937,0.7308734655380249,0.7698534727096558,0.7420766949653625,0.7091884613037109,0.7800551652908325,0.7054184079170227,0.7674338221549988,0.6401612162590027,0.76226407289505,0.5622539520263672,0.7615519762039185,0.5168532729148865,0.7628074884414673,0.4743945002555847,0.8011651039123535,0.6371294856071472,0.7940883636474609,0.5499187111854553,0.7898910045623779,0.4983980655670166,0.7859975695610046,0.4526748061180115,0.8330225944519043,0.6521653532981873,0.8278236985206604,0.5715125799179077,0.8208981156349182,0.52382493019104,0.8147599101066589,0.4841497540473938,0.8697715997695923,0.6811728477478027,0.8718926310539246,0.6177851557731628,0.8711926937103271,0.5783970952033997,0.8709490299224854,0.5411819219589233
C,0.8502357006072998,0.8075904250144958,0.7773987650871277,0.7919545769691467,0.7176740169525146,0.7574914693832397,0.6722707152366638,0.7446281909942627,0.6356467604637146,0.7129484415054321,0.7539304494857788,0.5993559956550598,0.7309478521347046,0.516940176486969,0.7011088728904724,0.4944767653942108,0.6716485619544983,0.4953516125679016,0.7771972417831421,0.5901564359664917,0.7506563067436218,0.4953049421310425,0.7101487517356873,0.4770507514476776,0.6734365820884705,0.49225637316703796,0.8013229370117188,0.5905501842498779,0.7767708897590637,0.4956953227519989,0.732982337474823,0.47629502415657043,0.6931428909301758,0.4859200119972229,0.824343740940094,0.6026447415351868,0.8002781271934509,0.5279702544212341,0.7667205929756165,0.5007830262184143,0.7329827547073364,0.49574917554855347
C,0.0621199905872345,0.6244660019874573,0.1503269076347351,0.6085543036460876,0.21936805546283722,0.5677832961082458,0.2731478214263916,0.5593398809432983,0.31804004311561584,0.5560377240180969,0.17294909060001373,0.38591432571411133,0.22653353214263916,0.30646613240242004,0.27765771746635437,0.2977445721626282,0.31800031661987305,0.313213586807251,0.15391743183135986,0.3795619606971741,0.22138074040412903,0.27989810705184937,0.2846653163433075,0.2878206670284271,0.3247942328453064,0.33119332790374756,0.1415964663028717,0.38725316524505615,0.2092432677745819,0.28949451446533203,0.27647465467453003,0.29628098011016846,0.32242727279663086,0.33041107654571533,0.1405985951423645,0.4131981432437897,0.20070119202136993,0.3389339745044708,0.25184738636016846,0.3239322006702423,0.29358354210853577,0.33091458678245544
C,0.08204714953899384,0.6290594339370728,0.16267845034599304,0.6334784626960754,0.24266216158866882,0.6029717922210693,0.3016101121902466,0.5989353060722351,0.3500819504261017,0.598391056060791,0.22805562615394592,0.42702987790107727,0.2644979953765869,0.34851399064064026,0.301397442817688,0.32884085178375244,0.3348974287509918,0.33154189586639404,0.20297709107398987,0.4083179831504822,0.24549680948257446,0.31335365772247314,0.2884523272514343,0.3037550151348114,0.323159396648407,0.32917189598083496,0.1756780594587326,0.40210169553756714,0.21965980529785156,0.3027954697608948,0.26626133918762207,0.2939724326133728,0.3049373924732208,0.31834036111831665,0.14804872870445251,0.4081517457962036,0.19072574377059937,0.3369073271751404,0.2308974415063858,0.3132396936416626,0.2687125504016876,0.31560441851615906
